verb1,prop1,verb2,prop2
628,0.16666666666666666,1802,0.5
628,0.03333333333333333,583,0.3
628,0.027777777777777776,288,0.4166666666666667
628,0.08,288,0.28
628,0.14285714285714285,96,0.42857142857142855
628,0.16666666666666666,288,0.8333333333333334
628,0.25,288,0.375
628,0.08333333333333333,288,0.375
628,0.14285714285714285,288,0.32142857142857145
628,0.14285714285714285,288,0.23809523809523808
628,0.03125,288,0.3125
628,0.16666666666666666,288,0.6666666666666666
628,0.16666666666666666,288,0.6666666666666666
628,0.25,288,0.375
628,0.14285714285714285,288,0.8571428571428571
628,0.2,288,0.6
628,0.16666666666666666,288,0.3333333333333333
628,0.2857142857142857,288,0.7142857142857143
628,0.08333333333333333,288,0.375
628,0.07692307692307693,288,0.19230769230769232
628,0.1,96,0.2
628,0.4,288,0.6
628,0.2222222222222222,288,0.6666666666666666
628,0.2,288,0.8
628,0.2,1666,0.2
628,0.14285714285714285,194,0.14285714285714285
628,0.03225806451612903,288,0.8387096774193549
628,0.14285714285714285,2247,0.2857142857142857
628,0.14285714285714285,288,0.32142857142857145
628,0.2,288,0.6
628,0.2,1052,0.2
628,0.16666666666666666,288,0.6666666666666666
628,0.16666666666666666,288,0.8333333333333334
628,0.14285714285714285,288,0.5714285714285714
628,0.2,288,0.8
628,0.16666666666666666,288,0.6666666666666666
628,0.16666666666666666,288,0.6666666666666666
628,0.3333333333333333,191,0.3333333333333333
628,0.16666666666666666,1035,0.6666666666666666
628,0.14285714285714285,59,0.14285714285714285
628,0.1,96,0.2
628,0.4,288,0.6
628,0.08,288,0.28
628,0.14285714285714285,288,0.32142857142857145
628,0.14285714285714285,288,0.23809523809523808
628,0.125,288,0.75
628,0.125,288,0.25
628,0.2,1835,0.4
628,0.3333333333333333,288,0.6666666666666666
628,0.2,772,0.2
628,0.2,288,0.6
628,0.16666666666666666,288,0.5
628,0.2,250,0.2
628,0.3333333333333333,191,0.3333333333333333
628,0.125,288,0.5
628,0.2,288,0.6
628,0.2,288,0.6
628,0.125,288,0.625
628,0.125,1802,0.375
628,0.14285714285714285,288,0.23809523809523808
628,0.16666666666666666,288,0.3333333333333333
628,0.125,288,0.375
628,0.14285714285714285,3772,0.14285714285714285
628,0.2,288,0.6
628,0.4,288,0.6
628,0.3333333333333333,288,0.6666666666666666
628,0.2222222222222222,288,0.6666666666666666
628,0.16666666666666666,288,0.5
628,0.07692307692307693,288,0.19230769230769232
628,0.14285714285714285,825,0.2857142857142857
628,0.2,288,0.6
628,0.14285714285714285,288,0.32142857142857145
628,0.16666666666666666,288,0.5
628,0.2857142857142857,288,0.7142857142857143
628,0.4,288,0.6
628,0.16666666666666666,96,0.3333333333333333
628,0.16666666666666666,288,0.8333333333333334
288,0.625,423,0.125
288,0.28,579,0.12
288,0.23809523809523808,628,0.14285714285714285
288,0.75,59,0.25
288,0.375,59,0.25
288,0.6666666666666666,653,0.16666666666666666
288,1.0,0,0.0
288,0.8888888888888888,14,0.1111111111111111
288,0.4166666666666667,583,0.1111111111111111
288,0.6,414,0.2
